Program no,Name,[1]- Total no of Return statement:,[2]- Total no of Control Statement:,[3]- Total no of Allocation instruction:,[4]- Total no of Load Instructions:,[5]- Total no of Store Instructions:,[6]- Total no of Multiplication (Float Datatype) Operation:,[7]- Total no of Addition(Integer Datatype) Instruction:,[8]- Total no of Multiplication(Integer Datatype) Instruction:,[9]- Total no of Division(Float Datatype) instruction:,[10]-Total no of Division(Integer Datatype) instruction: ,[11]-Total no of Condition Check instruction:,[12]-Total no of Addition(Float Datatype) instruction:,[13]-Total no of Addition(Integer Datatype) instruction:,[14]-Total no of Subtraction(Float Datatype) instruction:,[15]-Total no of Subtraction(Integer Datatype) instruction:,[16]-Total no of Function Call instruction:,[17]-Total no of Functions:,[18]-Total no of Blocks:,[19]-Total no of Instructions:,[20]-Total no of Float Operation:,[21]-Total no of Integer Operation:,[22]-Total no of Loop Operation:,[23]-Total no of Loop:,Data Size,Speed_up,,,Feature Ranking,
83,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,2048,1.47240618101545,,,,
123,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,1024,2.73969004465458,,,,
159,lavaMD rodinia,1,20,0,22,5,8,9,0,0,0,7,1,9,5,1,13,8,21,147,0,162,0,0,16,5.30366492146597,,,,
77,2mm polybecnh,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,512,1.82785602503912,,,,
24,Discrete Cosine Transform amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8192,1.85319652722968,,,,
23,Bitonic SortDP  amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,6553600,1.35964581116793,,,,
158,lavaMD rodinia,1,20,0,22,5,8,9,0,0,0,7,1,9,5,1,13,8,21,147,0,162,0,0,4,5.29017857142857,,,,
106,covariance polybench,3,18,0,9,7,0,15,4,1,0,7,1,15,1,0,1,6,21,84,9,141,5,5,1024,2.26685768863419,,,,
115,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,512,1.30492676431425,,,,
110,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,1024,4.31266233766234,,,,
44,Matrix Transpose amd,1,0,0,8,8,0,21,14,0,0,0,0,21,0,0,8,9,1,125,12,73,0,0,128,1.64146341463415,,,,
17,Black Scholes amd,5,1,5,11,7,24,3,3,11,1,2,3,3,21,1,47,10,5,158,271,57,1,1,1048576,1.52708731676227,,,,
7,Binomial Option Multi GPU amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,16384,2.5895618556701,,,,
26,Discrete Cosine Transform amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,262144,1.44532279314888,,,,
117,gramschmidt polybench,3,16,0,9,5,0,8,6,1,0,6,0,8,1,0,4,7,19,84,11,196,0,0,2048,2.67253041420684,,,,
101,Corrrelation polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,1024,2.14696832579185,,,,
93,BICG polybench ,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,1024,2.13594040968343,,,,
138,GEMM Intel,1,3,0,2,1,0,2,1,0,0,1,0,2,0,0,2,5,4,21,3,22,0,0,256,2.98380566801619,,,,
78,2mm polybecnh,2,12,0,6,2,0,4,2,0,0,6,0,4,0,0,2,5,14,50,9,85,0,0,1024,1.93297224102911,,,,
92,BICG polybench ,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,512,3.31470588235294,,,,
90,3d Conv Polybecnh,1,5,0,11,2,1,16,7,0,0,4,0,16,0,4,14,4,6,91,4,117,0,0,300,1.28605935127674,,,,
55,Gemm polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,1024,1.91010101010101,,,,
160,lavaMD rodinia,1,20,0,22,5,8,9,0,0,0,7,1,9,5,1,13,8,21,147,0,162,0,0,32,5.54590163934426,,,,
100,Corrrelation polybench,4,26,0,14,12,1,21,5,3,0,9,1,21,2,0,4,8,30,136,16,294,6,6,512,1.57585568917669,,,,
125,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,2048,4.00412007062978,,,,
28,Discrete Cosine Transform amd,2,17,1,5,9,1,3,1,1,1,15,1,3,1,4,2,5,18,150,1,28,1,1,8388608,1.3352221890844,,,,
54,Gemm polybench,1,6,0,4,2,2,2,1,0,0,3,0,2,0,0,1,4,7,29,6,26,0,0,512,1.62917398945518,,,,
124,syr2k polybencch,1,6,0,6,2,4,2,0,0,0,3,1,2,0,0,1,4,7,35,6,31,0,0,1536,4.96379932487487,,,,
15,Bitonic Sort amd,6,7,5,8,7,5,7,6,5,5,6,5,7,5,5,5,8,8,24,5,60,5,6,67108864,4.57198443579767,,,,
109,fdtd polybench,3,12,0,12,4,0,4,1,0,0,6,1,4,4,0,3,6,15,72,11,225,0,0,512,1.76354679802956,,,,
95,BICG polybench ,2,10,0,6,4,0,2,1,0,0,4,0,2,0,0,2,5,12,40,7,64,0,0,4096,1.56302521008403,,,,
30,Fast Walsh Transform amd,1,8,0,2,4,0,2,2,0,0,3,0,2,0,2,1,4,9,40,0,59,0,0,131072,1.15538674033149,,,,
1,Binomial Option amd,1,0,0,2,2,0,2,2,0,0,0,1,2,1,0,1,4,1,18,6,12,0,0,512,1.68599033816425,,,,
